model,vectorizer,task,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,cv_f1_mean,cv_f1_std,auc_macro,training_time
Logistic_Regression,TF-IDF,Severity Prediction,0.42272727272727273,0.10568181818181818,0.25,0.1485623003194888,0.25120534417659013,0.2546646058905452,0.0006952139899276476,0.49235389966485366,0.007112026214599609
Random_Forest,TF-IDF,Severity Prediction,0.42272727272727273,0.10568181818181818,0.25,0.1485623003194888,0.25120534417659013,0.2546646058905452,0.0006952139899276476,0.4942933637095809,0.07340550422668457
Gradient_Boosting,TF-IDF,Severity Prediction,0.42272727272727273,0.10568181818181818,0.25,0.1485623003194888,0.25120534417659013,0.2546646058905452,0.0006952139899276476,0.49235389966485366,0.18677306175231934
Naive_Bayes,TF-IDF,Severity Prediction,0.42272727272727273,0.10568181818181818,0.25,0.1485623003194888,0.25120534417659013,0.2546646058905452,0.0006952139899276476,0.48913672210557085,0.0013937950134277344
SVM,TF-IDF,Severity Prediction,0.42272727272727273,0.10568181818181818,0.25,0.1485623003194888,0.25120534417659013,0.2546646058905452,0.0006952139899276476,0.488087099441187,0.07116842269897461
Neural_Network,TF-IDF,Severity Prediction,0.42272727272727273,0.10568181818181818,0.25,0.1485623003194888,0.25120534417659013,0.2546646058905452,0.0006952139899276476,0.49235389966485366,0.05252218246459961
SGD,TF-IDF,Severity Prediction,0.34545454545454546,0.16907310596630987,0.2731549364613881,0.204421768707483,0.2759616573902288,0.2598268064474267,0.02668323243861367,0.0,0.007449626922607422
Logistic_Regression,Count,Severity Prediction,0.42272727272727273,0.10568181818181818,0.25,0.1485623003194888,0.25120534417659013,0.2546646058905452,0.0006952139899276476,0.49235389966485366,0.011711359024047852
Random_Forest,Count,Severity Prediction,0.42272727272727273,0.10568181818181818,0.25,0.1485623003194888,0.25120534417659013,0.2546646058905452,0.0006952139899276476,0.4942933637095809,0.08287763595581055
Gradient_Boosting,Count,Severity Prediction,0.42272727272727273,0.10568181818181818,0.25,0.1485623003194888,0.25120534417659013,0.2546646058905452,0.0006952139899276476,0.49235389966485366,0.18163394927978516
Naive_Bayes,Count,Severity Prediction,0.36363636363636365,0.14874025533837984,0.25007074136955293,0.18598901098901097,0.26503996003996005,0.2695095351307701,0.011985115932141433,0.4943263787701803,0.0014951229095458984
SVM,Count,Severity Prediction,0.42272727272727273,0.10568181818181818,0.25,0.1485623003194888,0.25120534417659013,0.2546646058905452,0.0006952139899276476,0.4892187725389912,0.07017111778259277
Neural_Network,Count,Severity Prediction,0.42272727272727273,0.10568181818181818,0.25,0.1485623003194888,0.25120534417659013,0.2546646058905452,0.0006952139899276476,0.4943263787701803,0.04267239570617676
SGD,Count,Severity Prediction,0.39545454545454545,0.16968253968253968,0.26680107526881724,0.20358879758510817,0.28919396886862925,0.2534496711820154,0.015213205063901735,0.0,0.008750438690185547
Logistic_Regression,TF-IDF_Ngrams,Severity Prediction,0.42272727272727273,0.10568181818181818,0.25,0.1485623003194888,0.25120534417659013,0.2546646058905452,0.0006952139899276476,0.49235389966485366,0.007363080978393555
Random_Forest,TF-IDF_Ngrams,Severity Prediction,0.42272727272727273,0.10568181818181818,0.25,0.1485623003194888,0.25120534417659013,0.2546646058905452,0.0006952139899276476,0.4942933637095809,0.07721686363220215
Gradient_Boosting,TF-IDF_Ngrams,Severity Prediction,0.42272727272727273,0.10568181818181818,0.25,0.1485623003194888,0.25120534417659013,0.2546646058905452,0.0006952139899276476,0.49235389966485366,0.21864008903503418
Naive_Bayes,TF-IDF_Ngrams,Severity Prediction,0.42272727272727273,0.10568181818181818,0.25,0.1485623003194888,0.25120534417659013,0.27027606080605476,0.010921920717683617,0.49235389966485366,0.0014801025390625
SVM,TF-IDF_Ngrams,Severity Prediction,0.42272727272727273,0.10568181818181818,0.25,0.1485623003194888,0.25120534417659013,0.2546646058905452,0.0006952139899276476,0.488087099441187,0.1083688735961914
Neural_Network,TF-IDF_Ngrams,Severity Prediction,0.42272727272727273,0.10568181818181818,0.25,0.1485623003194888,0.25120534417659013,0.2546646058905452,0.0006952139899276476,0.49235389966485366,0.05540347099304199
SGD,TF-IDF_Ngrams,Severity Prediction,0.42272727272727273,0.10568181818181818,0.25,0.1485623003194888,0.25120534417659013,0.27546114177196734,0.015402800633910045,0.0,0.006670236587524414
Enhanced_Severity,Custom_Features_TF-IDF,Severity Prediction,0.2,0.15374518132495718,0.26477272727272727,0.1826592873345393,0.14003607441457386,0.0,0.0,0.492028567102679,3.1006550788879395
